,uid,date,number_places_morning,number_places_afternoon,number_places_evening,number_places_night,variance_time_spent_morning,variance_time_spent_afternoon,variance_time_spent_evening,variance_time_spent_night,time_spent_morning_firstplace,time_spent_afternoon_firstplace,time_spent_evening_firstplace,time_spent_night_firstplace,time_spent_morning_secondplace,time_spent_afternoon_secondplace,time_spent_evening_secondplace,time_spent_night_secondplace,time_spent_morning_thirdplace,time_spent_afternoon_thirdplace,time_spent_evening_thirdplace,time_spent_night_thirdplace
0,u00,2013-03-27,1,2,2,1,0.0,3.3621297067901232,0.25125156249999997,0.0,4.0,5.333333333333333,2.6686111111111113,1.6666666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,u00,2013-03-28,2,2,1,3,0.027870447530864192,2.25041668595679,0.0,0.024732527434842246,3.6666666666666665,5.334722222222222,5.0,3.332777777777778,4.434444444444445,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0.0,3.332777777777778
2,u00,2013-03-29,2,3,2,4,0.7593185956790125,1.5061522805212617,0.11148179012345683,0.02081051311728395,4.666666666666667,5.333333333333333,4.333333333333333,1.333611111111111,2.4944444444444445,3.6666666666666665,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,1.0013888888888889
3,u00,2013-03-30,1,0,2,1,0.0,0.0,0.4411173611111113,0.0,0.6666666666666666,0.0,3.3333333333333335,5.333333333333333,0.0,0.0,2.005,0.0,0.0,0.0,0.0,0.0
4,u00,2013-03-31,1,1,1,1,0.0,0.0,0.0,0.0,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,u00,2013-04-01,1,3,2,1,0.0,0.4527719650205761,1.777037114197531,0.0,5.333333333333333,5.334444444444444,4.0,5.666666666666667,0.0,2.6344444444444446,1.0008333333333332,0.0,0.0,1.0,0.0,0.0
6,u00,2013-04-02,1,1,2,1,0.0,0.0,7.716049382718462e-08,0.0,4.0,5.333333333333333,1.333888888888889,5.333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
7,u00,2013-04-03,1,4,3,2,0.0,0.8543865885416666,0.22246920438957482,1.8666390625,5.333333333333333,5.333333333333333,2.6666666666666665,4.0,0.0,5.333333333333333,1.0,2.3472222222222223,0.0,1.0,1.0,0.0
8,u00,2013-04-04,1,2,2,1,0.0,1.7777777777777777,0.44629822530864205,0.0,5.333333333333333,3.6666666666666665,2.6666666666666665,5.333333333333333,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
9,u00,2013-04-05,1,3,2,1,0.0,1.5554938443072703,0.25013890817901235,0.0,5.333333333333333,5.333333333333333,2.3333333333333335,5.0,0.0,3.6666666666666665,1.0,0.0,0.0,0.6666666666666666,0.0,0.0
10,u00,2013-04-06,3,2,2,3,1.2095885459533608,1.777777777777778,7.716049382715377e-08,0.46913580246913583,5.666666666666667,4.666666666666667,0.6661111111111111,2.3333333333333335,3.6666666666666665,2.3333333333333335,0.6666666666666666,2.0,4.0,0.0,0.0,4.0
11,u00,2013-04-07,1,1,1,1,0.0,0.0,0.0,0.0,5.666666666666667,5.780555555555556,4.666666666666667,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,u00,2013-04-08,1,3,2,1,0.0,1.283950617283951,0.2502778549382716,0.0,5.333333333333333,3.0,2.3333333333333335,5.333333333333333,0.0,3.6666666666666665,0.6666666666666666,0.0,0.0,1.0,0.0,0.0
13,u00,2013-04-09,1,2,2,3,0.0,0.25013890817901235,0.9997222415123456,0.5188890432098764,5.666666666666667,2.3333333333333335,3.6663888888888887,5.666666666666667,0.0,1.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.6666666666666666
14,u00,2013-04-10,1,4,3,1,0.0,0.1837197916666667,0.45292285665294935,0.0,5.333333333333333,1.6666666666666667,2.3333333333333335,5.666666666666667,0.0,1.0,1.3333333333333333,0.0,0.0,1.0002777777777778,0.6666666666666666,0.0
